site name,start,end,duration,citation
Indian Creek,1748,1765,17,Swetnam & Lynch 1989
Indian Creek,1792,1802,10,Swetnam & Lynch 1989
Indian Creek,1803,1835,32,Swetnam & Lynch 1989
Indian Creek,1848,1852,4,Swetnam & Lynch 1989
Indian Creek,1862,1870,8,Swetnam & Lynch 1989
Indian Creek,1880,1885,5,Swetnam & Lynch 1989
Indian Creek,1900,1910,10,Swetnam & Lynch 1989
Indian Creek,1948,1959,11,Swetnam & Lynch 1989
Indian Creek,1975,1983,8,Swetnam & Lynch 1989
Oak Creek,1720,1730,10,Swetnam & Lynch 1989
Oak Creek,1830,1834,4,Swetnam & Lynch 1989
Oak Creek,1852,1865,13,Swetnam & Lynch 1989
Oak Creek,1888,1910,22,Swetnam & Lynch 1989
Oak Creek,1948,1953,5,Swetnam & Lynch 1989
Oak Creek,1980,1983,3,Swetnam & Lynch 1989
San Juan Mountains,1600,1623,23,Ryerson et al 2003
San Juan Mountains,1650,1671,21,Ryerson et al 2003
San Juan Mountains,1671,1685,14,Ryerson et al 2003
San Juan Mountains,1689,1703,14,Ryerson et al 2003
San Juan Mountains,1715,1735,20,Ryerson et al 2003
San Juan Mountains,1753,1778,25,Ryerson et al 2003
San Juan Mountains,1785,1805,20,Ryerson et al 2003
San Juan Mountains,1810,1824,14,Ryerson et al 2003
San Juan Mountains,1825,1846,21,Ryerson et al 2003
San Juan Mountains,1849,1876,27,Ryerson et al 2003
San Juan Mountains,1881,1898,17,Ryerson et al 2003
San Juan Mountains,1903,1932,29,Ryerson et al 2003
San Juan Mountains,1936,1952,16,Ryerson et al 2003
San Juan Mountains,1960,1977,17,Ryerson et al 2003
San Juan Mountains,1984,1997,13,Ryerson et al 2003
Northern NM,1710,1735,25,Swetnam & Lynch 1993
Northern NM,1745,1775,30,Swetnam & Lynch 1993
Northern NM,1790,1840,50,Swetnam & Lynch 1993
Northern NM,1850,1860,10,Swetnam & Lynch 1993
Northern NM,1870,1880,10,Swetnam & Lynch 1993
Northern NM,1885,1900,15,Swetnam & Lynch 1993
Northern NM,1910,1925,15,Swetnam & Lynch 1993
Northern NM,1940,1965,25,Swetnam & Lynch 1993
Northern NM,1975,1993,18,Swetnam & Lynch 1993
Detected,1633,1642,9,Current Study
Detected,1673,1680,7,Current Study
Detected,1676,1683,7,Current Study
Detected,1692,1699,7,Current Study
Detected,1716,1726,10,Current Study
Detected,1718,1728,10,Current Study
Detected,1718,1734,16,Current Study
Detected,1741,1751,10,Current Study
Detected,1761,1764,3,Current Study
Detected,1761,1769,8,Current Study
Detected,1767,1770,3,Current Study
Detected,1767,1771,4,Current Study
Detected,1773,1779,6,Current Study
Detected,1789,1796,7,Current Study
Detected,1791,1800,9,Current Study
Detected,1792,1803,11,Current Study
Detected,1794,1803,9,Current Study
Detected,1798,1805,7,Current Study
Detected,1807,1808,1,Current Study
Detected,1810,1816,6,Current Study
Detected,1812,1819,7,Current Study
Detected,1812,1819,7,Current Study
Detected,1830,1841,11,Current Study
Detected,1832,1841,9,Current Study
Detected,1833,1845,12,Current Study
Detected,1833,1845,12,Current Study
Detected,1860,1866,6,Current Study
Detected,1862,1874,12,Current Study
Detected,1883,1889,6,Current Study
Detected,1887,1894,7,Current Study
Detected,1889,1898,9,Current Study
Detected,1891,1904,13,Current Study
Detected,1891,1907,16,Current Study
Detected,1897,1908,11,Current Study
Detected,1900,1908,8,Current Study
Detected,1902,1908,6,Current Study
Detected,1938,1947,9,Current Study
Detected,1940,1948,8,Current Study
Detected,1940,1952,12,Current Study
Detected,1947,1955,8,Current Study
Detected,1975,1975,0,Current Study
Detected,1978,1983,5,Current Study
Detected,1978,1987,9,Current Study
Detected,1979,1987,8,Current Study
Detected,1981,1990,9,Current Study
Detected,1979,1991,12,Current Study